Temperature,E,Esquared,E4,C1,C2,C12,C3,Cv,V
0.55,-88.1187,7869.53,6.51871e+07,0.632024,0.635259,0.633642,0.495091,345.86,0.649133
0.56,-83.6974,7151.4,5.51595e+07,0.613872,0.603728,0.6088,0.456348,466.052,0.640485
0.57,-75.6139,5868.52,3.79491e+07,0.552844,0.556442,0.554643,0.402992,464.95,0.632698
0.58,-73.1548,5500.8,3.3471e+07,0.544987,0.533594,0.53929,0.384515,443.461,0.631281
0.59,-73.0871,5527.25,3.45874e+07,0.541181,0.539628,0.540405,0.380933,532.959,0.622621
0.6,-46.4125,2296.04,6.58235e+06,0.376936,0.340286,0.358611,0.211026,394.242,0.583803
0.61,-45.6151,2400.25,8.70235e+06,0.375364,0.343178,0.359271,0.19376,858.67,0.496495
0.62,-18.7721,406.259,255716,0.21537,0.097654,0.156512,0.0624176,140.138,0.483548
0.63,-36.5597,1465.82,2.88021e+06,0.294905,0.291063,0.292984,0.145226,325.549,0.553173
0.64,-39.8786,1797.93,4.68255e+06,0.332432,0.308736,0.320584,0.156404,506.911,0.517148
0.65,-29.5289,1011.85,1.65288e+06,0.267089,0.212695,0.239892,0.110794,331.107,0.461868
0.66,-16.688,321.599,172156,0.177067,0.10685,0.141959,0.0498432,98.9647,0.445156
0.67,-15.32,266.165,107287,0.178713,0.0842856,0.131499,0.0434016,70.0879,0.495198
0.68,-10.7125,135.519,32521.6,0.113861,0.060948,0.0874046,0.03944,44.9016,0.409733
0.69,-8.2135,77.246,9641.04,0.0631476,0.0643688,0.0637582,0.0367536,20.5511,0.461419
0.7,-9.09092,102.035,23291,0.0681764,0.0729916,0.070584,0.0406504,39.5708,0.254287
0.71,-7.59108,67.3226,7942.66,0.04991,0.0678552,0.0588826,0.0340564,19.2385,0.415852
0.72,-11.3442,169.134,65660.4,0.0817724,0.111653,0.0967128,0.0334584,78.0152,0.234896
0.73,-10.7969,138.17,33374.5,0.0996456,0.0801296,0.0898876,0.036162,40.5297,0.417275
0.74,-12.0452,179.088,64609.2,0.0691224,0.135356,0.102239,0.0364252,62.0927,0.328512
0.75,-8.78804,90.55,13953.6,0.0701388,0.0731076,0.0716232,0.0325144,23.6807,0.432734
0.76,-9.43462,105.65,20040.4,0.0752224,0.0819232,0.0785728,0.0315468,28.8055,0.401527
0.77,-8.87662,94.5094,16252.6,0.0853112,0.0565388,0.070925,0.0356824,26.5053,0.39347
0.78,-10.1998,130.272,38956.9,0.0822564,0.0818952,0.0820758,0.0398436,43.1242,0.234823
0.79,-8.29328,84.2177,14065.3,0.059096,0.0759728,0.0675344,0.0307968,24.7384,0.33897
0.8,-6.33926,45.9421,3445.24,0.0518116,0.0440044,0.047908,0.0309692,8.99363,0.455903
0.81,-7.94852,75.0935,10294,0.0568744,0.0711104,0.0639924,0.0309856,18.1597,0.391505
0.82,-7.8216,71.7544,9180.87,0.0730188,0.0538316,0.0634252,0.0295816,15.7302,0.405619
0.83,-5.80114,38.7227,2605.79,0.0446124,0.0423544,0.0434834,0.029056,7.35885,0.420722
0.84,-7.15808,59.9436,6406.88,0.050468,0.06324,0.056854,0.0294536,12.3377,0.405653
0.85,-8.05436,78.2188,11744,0.0666288,0.064106,0.0653674,0.0303524,18.472,0.360157
0.86,-7.77762,71.2823,9268.52,0.0645068,0.0593616,0.0619342,0.031684,14.5902,0.391969
0.87,-6.97516,56.635,5568.33,0.055894,0.0543684,0.0551312,0.0292408,10.5459,0.421327
0.88,-6.70348,52.1231,4517.69,0.044754,0.0612924,0.0530232,0.0280232,9.28001,0.445713
0.89,-6.74538,52.3121,4544.1,0.0537132,0.0538312,0.0537722,0.0273632,8.59986,0.446494
0.9,-6.60734,52.2146,5328.37,0.0547688,0.0471492,0.050959,0.0302288,10.565,0.348538
0.91,-5.97998,40.5566,2661.28,0.0446684,0.0478704,0.0462694,0.0270608,5.79208,0.460681
0.92,-7.09812,59.1485,6169.39,0.0471712,0.0679976,0.0575844,0.0267936,10.3559,0.412195
0.93,-6.42846,48.476,4268.67,0.0559464,0.0448712,0.0504088,0.0277516,8.26787,0.394495
0.94,-6.53488,51.3758,5380.24,0.0429624,0.0596196,0.051291,0.0281156,9.81343,0.320542
0.95,-5.9763,40.9901,2821.55,0.048078,0.0423696,0.0452238,0.0290784,5.8437,0.440232
0.96,-6.03704,42.3244,3093.43,0.0402732,0.0520128,0.046143,0.0284548,6.37868,0.424379
0.97,-5.55442,35.5013,2244.53,0.0420172,0.0401624,0.0410898,0.0289088,4.94174,0.40637
0.98,-5.94882,40.6169,2794.1,0.0400916,0.0507148,0.0454032,0.02817,5.44402,0.435443
0.99,-6.00182,41.4887,3051.77,0.0494784,0.0418628,0.0456706,0.0286952,5.57782,0.409022
1,-5.91502,40.3333,2846.1,0.0448204,0.045298,0.0450592,0.028182,5.34588,0.416823
1.01,-5.66746,36.6436,2280.53,0.0434148,0.0435188,0.0434668,0.0264156,4.43439,0.433867
1.02,-5.46802,34.6161,2170.02,0.0403424,0.0413424,0.0408424,0.0276756,4.5337,0.39635
1.03,-5.79748,38.9194,2742.5,0.0506928,0.0371904,0.0439416,0.0280664,5.00393,0.396479
1.04,-5.7034,37.3834,2435.83,0.0456812,0.0415844,0.0436328,0.0268024,4.48841,0.419013
1.05,-5.56338,35.6524,2237.06,0.04093,0.042716,0.041823,0.0276216,4.26411,0.41335
1.06,-5.26598,31.1118,1510.32,0.0402804,0.0380444,0.0391624,0.0269948,3.00929,0.479888
1.07,-5.38636,33.5115,2023.64,0.0374484,0.0443192,0.0408838,0.0259596,3.92929,0.399347
1.08,-5.83738,39.4277,2758.58,0.0467984,0.0423896,0.044594,0.0275596,4.58907,0.408491
